seed,value,params,trial_number,batch_size,n_steps,gamma,lr,ent_coef,cliprange,noptepochs,lamdba,max_grad_norm,vf_coef,cliprange_vf
0,1.1232892274856567,"{'batch_size': 256, 'n_steps': 128, 'gamma': 0.995, 'lr': 0.00020639789836416882, 'ent_coef': 2.8207192055799295e-08, 'cliprange': 0.1, 'noptepochs': 10, 'lamdba': 0.98, 'max_grad_norm': 0.5198239777992768, 'vf_coef': 0.5561191161085285, 'cliprange_vf': 0.0007715630149788821}",93,256,128,0.995,0.00020639789836416882,2.8207192055799295e-08,0.1,10,0.98,0.5198239777992768,0.5561191161085285,0.0007715630149788821
0,1.5753034353256226,"{'batch_size': 256, 'n_steps': 128, 'gamma': 0.995, 'lr': 0.012600409390177598, 'ent_coef': 9.141576290851887e-08, 'cliprange': 0.1, 'noptepochs': 10, 'lamdba': 0.98, 'max_grad_norm': 0.20004027217976994, 'vf_coef': 0.5554515151385138, 'cliprange_vf': 0.010212970640554918}",94,256,128,0.995,0.012600409390177598,9.141576290851887e-08,0.1,10,0.98,0.20004027217976994,0.5554515151385138,0.010212970640554918
0,-4.3968892097473145,"{'batch_size': 256, 'n_steps': 128, 'gamma': 0.995, 'lr': 0.00013048048128237377, 'ent_coef': 1.0058846130384693e-08, 'cliprange': 0.1, 'noptepochs': 10, 'lamdba': 0.98, 'max_grad_norm': 0.5711744339001199, 'vf_coef': 0.5924091812466029, 'cliprange_vf': 0.007173546641955117}",95,256,128,0.995,0.00013048048128237377,1.0058846130384693e-08,0.1,10,0.98,0.5711744339001199,0.5924091812466029,0.007173546641955117
0,-4.51444149017334,"{'batch_size': 256, 'n_steps': 128, 'gamma': 0.995, 'lr': 0.0009108693839281101, 'ent_coef': 3.017547967716379e-07, 'cliprange': 0.1, 'noptepochs': 10, 'lamdba': 0.98, 'max_grad_norm': 0.6121647786059675, 'vf_coef': 0.5918495693745893, 'cliprange_vf': 0.03694407142045615}",96,256,128,0.995,0.0009108693839281101,3.017547967716379e-07,0.1,10,0.98,0.6121647786059675,0.5918495693745893,0.03694407142045615
0,1.7501041889190674,"{'batch_size': 64, 'n_steps': 2048, 'gamma': 0.999, 'lr': 5.40264028969612e-05, 'ent_coef': 1.4092805064259742e-07, 'cliprange': 0.1, 'noptepochs': 1, 'lamdba': 1.0, 'max_grad_norm': 0.5367485630039976, 'vf_coef': 0.6246493201059595, 'cliprange_vf': 0.33939503849164354}",97,64,2048,0.999,5.40264028969612e-05,1.4092805064259742e-07,0.1,1,1.0,0.5367485630039976,0.6246493201059595,0.33939503849164354
0,7.780317783355713,"{'batch_size': 512, 'n_steps': 32, 'gamma': 0.98, 'lr': 0.00012989678490049129, 'ent_coef': 1.7509723311746387e-08, 'cliprange': 0.1, 'noptepochs': 50, 'lamdba': 0.98, 'max_grad_norm': 0.4624725571313048, 'vf_coef': 0.9975613520067306, 'cliprange_vf': 0.07010939399907827}",98,512,32,0.98,0.00012989678490049129,1.7509723311746387e-08,0.1,50,0.98,0.4624725571313048,0.9975613520067306,0.07010939399907827
0,-7.234213352203369,"{'batch_size': 256, 'n_steps': 16, 'gamma': 0.995, 'lr': 0.0003007857387687958, 'ent_coef': 1.0188046108614358e-08, 'cliprange': 0.2, 'noptepochs': 1, 'lamdba': 0.92, 'max_grad_norm': 0.4883046448776907, 'vf_coef': 0.4632790297619148, 'cliprange_vf': 0.024392381165686518}",99,256,16,0.995,0.0003007857387687958,1.0188046108614358e-08,0.2,1,0.92,0.4883046448776907,0.4632790297619148,0.024392381165686518
42,-3.305232524871826,"{'batch_size': 64, 'n_steps': 16, 'gamma': 0.98, 'lr': 0.002327358446986009, 'ent_coef': 0.0001725194504584086, 'cliprange': 0.1, 'noptepochs': 10, 'lamdba': 0.98, 'max_grad_norm': 0.7990906202858122, 'vf_coef': 0.5159896746153956, 'cliprange_vf': 0.14505465798639472}",0,64,16,0.98,0.002327358446986009,0.0001725194504584086,0.1,10,0.98,0.7990906202858122,0.5159896746153956,0.14505465798639472
42,4.105229377746582,"{'batch_size': 256, 'n_steps': 128, 'gamma': 0.95, 'lr': 0.9947328841907741, 'ent_coef': 1.768851883164017e-07, 'cliprange': 0.4, 'noptepochs': 30, 'lamdba': 0.95, 'max_grad_norm': 0.3789054526775997, 'vf_coef': 0.23050725431054886, 'cliprange_vf': 0.006411185160038635}",1,256,128,0.95,0.9947328841907741,1.768851883164017e-07,0.4,30,0.95,0.3789054526775997,0.23050725431054886,0.006411185160038635
42,4.1616621017456055,"{'batch_size': 512, 'n_steps': 8, 'gamma': 0.995, 'lr': 0.011472334063199873, 'ent_coef': 0.006034233992684238, 'cliprange': 0.2, 'noptepochs': 10, 'lamdba': 0.92, 'max_grad_norm': 0.03824876903896035, 'vf_coef': 0.5426888615444274, 'cliprange_vf': 0.25522449051976664}",2,512,8,0.995,0.011472334063199873,0.006034233992684238,0.2,10,0.92,0.03824876903896035,0.5426888615444274,0.25522449051976664
42,-4.695451259613037,"{'batch_size': 32, 'n_steps': 32, 'gamma': 0.98, 'lr': 5.274789588821799e-05, 'ent_coef': 7.580485202777888e-05, 'cliprange': 0.3, 'noptepochs': 50, 'lamdba': 0.99, 'max_grad_norm': 0.17965663305158874, 'vf_coef': 0.990567627184972, 'cliprange_vf': 0.4385824321980286}",3,32,32,0.98,5.274789588821799e-05,7.580485202777888e-05,0.3,50,0.99,0.17965663305158874,0.990567627184972,0.4385824321980286
42,0.12851305305957794,"{'batch_size': 64, 'n_steps': 8, 'gamma': 0.98, 'lr': 0.07337717741045294, 'ent_coef': 4.4833712924015763e-07, 'cliprange': 0.2, 'noptepochs': 10, 'lamdba': 0.9, 'max_grad_norm': 0.1716077582173986, 'vf_coef': 0.2796820235001011, 'cliprange_vf': 0.4745976676342402}",4,64,8,0.98,0.07337717741045294,4.4833712924015763e-07,0.2,10,0.9,0.1716077582173986,0.2796820235001011,0.4745976676342402
42,4.121273994445801,"{'batch_size': 16, 'n_steps': 16, 'gamma': 0.95, 'lr': 0.49625632148367993, 'ent_coef': 9.86494788907091e-08, 'cliprange': 0.3, 'noptepochs': 20, 'lamdba': 0.95, 'max_grad_norm': 0.828722760027487, 'vf_coef': 0.7050414191764541, 'cliprange_vf': 0.4271731770939709}",5,16,16,0.95,0.49625632148367993,9.86494788907091e-08,0.3,20,0.95,0.828722760027487,0.7050414191764541,0.4271731770939709
