seed,value,params,trial_number,batch_size,n_steps,gamma,lr,ent_coef,cliprange,noptepochs,lamdba,max_grad_norm,vf_coef,cliprange_vf
2024,2.0,"{'gamma': 0.95, 'lr': 0.0038999585303937344, 'tau': 0.0875064696636964, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3850, 'train_freq': 72, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",42,64,,0.95,0.0038999585303937344,1.0,,,,,,
2024,26.0,"{'gamma': 0.95, 'lr': 0.0019261872204917746, 'tau': 0.034301075460028314, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 4400, 'train_freq': 268, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",43,64,,0.95,0.0019261872204917746,1.0,,,,,,
2024,-18.0,"{'gamma': 0.95, 'lr': 0.00043453268871884216, 'tau': 0.0011077248613236763, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 5537, 'train_freq': 151, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",44,64,,0.95,0.00043453268871884216,1.0,,,,,,
2024,-18.0,"{'gamma': 0.9, 'lr': 0.00041164882158224096, 'tau': 0.13849498395015927, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3033, 'train_freq': 2, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",45,64,,0.9,0.00041164882158224096,1.0,,,,,,
2024,,"{'gamma': 0.9, 'lr': 0.0036543635564174155, 'tau': 0.1530436574824696, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 2155, 'train_freq': 2, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",46,64,,0.9,0.0036543635564174155,1.0,,,,,,
2024,-26.0,"{'gamma': 0.9, 'lr': 0.0040028225412202245, 'tau': 0.1358519620370067, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 1963, 'train_freq': 34, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",47,64,,0.9,0.0040028225412202245,1.0,,,,,,
2024,16.0,"{'gamma': 0.9, 'lr': 0.015642144930514374, 'tau': 0.19161999777051789, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 882, 'train_freq': 52, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",48,64,,0.9,0.015642144930514374,1.0,,,,,,
2024,-6.0,"{'gamma': 0.9, 'lr': 0.003721763496903994, 'tau': 0.061755626095211756, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 1895, 'train_freq': 231, 'gradient_steps': 10, 'ent_coef': 0.5, 'net_arch': 'small'}",49,64,,0.9,0.003721763496903994,0.5,,,,,,
2024,30.0,"{'gamma': 0.9, 'lr': 0.010842744475724739, 'tau': 0.9323780174681746, 'batch_size': 16, 'buffer_size': 100000, 'learning_starts': 1319, 'train_freq': 343, 'gradient_steps': 10, 'ent_coef': 0.1, 'net_arch': 'small'}",50,16,,0.9,0.010842744475724739,0.1,,,,,,
2024,-4.0,"{'gamma': 0.9, 'lr': 0.002336560073108406, 'tau': 0.4133809770765524, 'batch_size': 32, 'buffer_size': 100000, 'learning_starts': 2412, 'train_freq': 119, 'gradient_steps': 300, 'ent_coef': 0.01, 'net_arch': 'small'}",51,32,,0.9,0.002336560073108406,0.01,,,,,,
2024,-2.0,"{'gamma': 0.9, 'lr': 0.000841263378622497, 'tau': 0.12729675194087467, 'batch_size': 64, 'buffer_size': 100000, 'learning_starts': 3218, 'train_freq': 1, 'gradient_steps': 10, 'ent_coef': 1.0, 'net_arch': 'small'}",52,64,,0.9,0.000841263378622497,1.0,,,,,,
